start_t,stop_t,server_id,player_a,player_b,key
46680,46681, 509fb8211dbf9d6b7e000004, 8b80270704e876377787a53b7654302a7dbfd600, 00034b2b08e7ea8eac3491411d21adb4d7d92378, KilledBy
46680,46681, 509fb8211dbf9d6b7e000004, ee1a61be14eb3a4fc7b52589c915355027dbdb42, 00034b2b08e7ea8eac3491411d21adb4d7d92378, KilledBy
63060,63070, 4f89d73c1dbf9d462000000a, ae80f43294f3e7421de2df19d55e3179b314a197, 000357c75ef63caa7ef20358d49207b9f81948b1, Chat
62940,62950, 50adcfcb1dbf9d702e000010, 46a7b041393dfa6d849ad777a115bd20a1e4e6ed, 0003f0cc40ec4619f9e08fb298431387ba942250, Chat
43920,43925, 5065e0091dbf9de66600000b, 02c180170d7729ab224ec5ab0861a5e814bc7744, 00040857941a98d183a9ffcc5efc12a5e73a91ad, Chat
50460,50465, 5065e0091dbf9de66600000b, f1c58f47ae6ea8050a6bec996e22c0e2580ef36f, 00040857941a98d183a9ffcc5efc12a5e73a91ad, KilledBy
50580,50590, 5065e0091dbf9de66600000b, 5a2f958222b117e49b08ba4174a7d02a3b7d8ae3, 00040857941a98d183a9ffcc5efc12a5e73a91ad, KilledBy
50640,50645, 5065e0091dbf9de66600000b, 0b1ffa40485185c0cc2d336e06c2ee041096a969, 00040857941a98d183a9ffcc5efc12a5e73a91ad, Chat
50640,50650, 5065e0091dbf9de66600000b, b8e11a9178b80c6d06c035e0bb005db7e74add6b, 00040857941a98d183a9ffcc5efc12a5e73a91ad, Chat
50760,50770, 5065e0091dbf9de66600000b, 956d33fbc7e8f92011455eb8b89beb40e5610191, 00040857941a98d183a9ffcc5efc12a5e73a91ad, KilledBy
52140,52150, 5065e0091dbf9de66600000b, 26582d0475e0f716638dbcc35b62d92a1fe38fe5, 00040857941a98d183a9ffcc5efc12a5e73a91ad, Chat
59880,59885, 5065e0091dbf9de66600000b, 1356f629908e037689fad63ab3ee84e073fd4af8, 00040857941a98d183a9ffcc5efc12a5e73a91ad, Chat
